Area_name,Delim,POP010210D
"Cassia, ID",#,22952
"Clark, ID",#,982
"Clearwater, ID",#,8761
"Custer, ID",#,4368
"Elmore, ID",#,27038
"Franklin, ID",#,12786
"Fremont, ID",#,13242
"Gem, ID",#,16719
"Gooding, ID",#,15464
"Idaho, ID",#,16267
"Jefferson, ID",#,26140
"Jerome, ID",#,22374
"Kootenai, ID",#,138494
"Latah, ID",#,37244
"Lemhi, ID",#,7936
"Lewis, ID",#,3821
"Lincoln, ID",#,5208
"Madison, ID",#,37536
"Minidoka, ID",#,20069
"Nez Perce, ID",#,39265
"Oneida, ID",#,4286
"Owyhee, ID",#,11526
"Payette, ID",#,22623
"Power, ID",#,7817
"Shoshone, ID",#,12765
"Teton, ID",#,10170
"Twin Falls, ID",#,77230
"Valley, ID",#,9862
"Washington, ID",#,10198
ILLINOIS,#,12830632
"Adams, IL",#,67103
"Alexander, IL",#,8238
"Bond, IL",#,17768
"Boone, IL",#,54165
"Brown, IL",#,6937
"Bureau, IL",#,34978
"Calhoun, IL",#,5089
"Carroll, IL",#,15387
"Cass, IL",#,13642
"Champaign, IL",#,201081
"Christian, IL",#,34800
"Clark, IL",#,16335
"Clay, IL",#,13815
"Clinton, IL",#,37762
"Coles, IL",#,53873
"Cook, IL",#,5194675
"Crawford, IL",#,19817
"Cumberland, IL",#,11048
"DeKalb, IL",#,105160
"De Witt, IL",#,16561
"Douglas, IL",#,19980
"DuPage, IL",#,916924
"Edgar, IL",#,18576
"Edwards, IL",#,6721
"Effingham, IL",#,34242
"Fayette, IL",#,22140
"Ford, IL",#,14081
"Franklin, IL",#,39561
"Fulton, IL",#,37069
"Gallatin, IL",#,5589
"Greene, IL",#,13886
"Grundy, IL",#,50063
"Hamilton, IL",#,8457
"Hancock, IL",#,19104
"Hardin, IL",#,4320
"Henderson, IL",#,7331
"Henry, IL",#,50486
"Iroquois, IL",#,29718
"Jackson, IL",#,60218
"Jasper, IL",#,9698
"Jefferson, IL",#,38827
"Jersey, IL",#,22985
"Jo Daviess, IL",#,22678
"Johnson, IL",#,12582
"Kane, IL",#,515269
"Kankakee, IL",#,113449
"Kendall, IL",#,114736
"Knox, IL",#,52919
"Lake, IL",#,703462
"LaSalle, IL",#,113924
"Lawrence, IL",#,16833
"Lee, IL",#,36031
"Livingston, IL",#,38950
"Logan, IL",#,30305
"McDonough, IL",#,32612
"McHenry, IL",#,308760
"McLean, IL",#,169572
"Macon, IL",#,110768
"Macoupin, IL",#,47765
"Madison, IL",#,269282
"Marion, IL",#,39437
"Marshall, IL",#,12640
"Mason, IL",#,14666
"Massac, IL",#,15429
"Menard, IL",#,12705
"Mercer, IL",#,16434
"Monroe, IL",#,32957
"Montgomery, IL",#,30104
"Morgan, IL",#,35547
"Moultrie, IL",#,14846
"Ogle, IL",#,53497
"Peoria, IL",#,186494
"Perry, IL",#,22350
"Piatt, IL",#,16729
"Pike, IL",#,16430
"Pope, IL",#,4470
"Pulaski, IL",#,6161
"Putnam, IL",#,6006
"Randolph, IL",#,33476
"Richland, IL",#,16233
"Rock Island, IL",#,147546
"St. Clair, IL",#,270056
"Saline, IL",#,24913
"Sangamon, IL",#,197465
"Schuyler, IL",#,7544
"Scott, IL",#,5355
"Shelby, IL",#,22363
"Stark, IL",#,5994
"Stephenson, IL",#,47711
"Tazewell, IL",#,135394
"Union, IL",#,17808
"Vermilion, IL",#,81625
"Wabash, IL",#,11947
